1K 10K 100K 1000K
494.7 1078.25 1083.9 1089.15 
-1826.5500000000004 1050.5 1078.0 1088.25 
1081.05 1086.85 1086.85 1086.85 
994.7 1000.5 1085.75 1086.85 
941.3499999999999 1004.3499999999999 1086.85 1086.85 
968.6 1065.6 1086.85 1086.85 
1047.9499999999998 1074.25 1088.25 1089.15 
1046.4 1072.2 1086.85 1086.85 
1013.8499999999999 1056.85 1086.85 1086.85 
982.8 1077.8 1086.85 1089.15 
979.95 1079.95 1088.25 1089.15 
995.3 1060.3 1088.25 1089.15 
1037.45 1049.95 1086.85 1086.85 
1030.8 1051.4 1088.25 1089.15 
1022.15 1071.85 1086.85 1086.85 
1027.35 1066.85 1086.85 1086.85 
1044.75 1061.75 1088.25 1089.15 
1052.5 1068.0 1086.85 1086.85 
1038.45 1068.45 1088.25 1089.15 
1053.4 1072.55 1085.75 1089.15 
1055.05 1065.05 1086.85 1086.85 
978.4 1070.9 1088.25 1089.15 
1013.95 1043.45 1085.75 1086.85 
1050.4 1058.9 1085.75 1086.85 
1055.6 1071.4 1083.9 1088.25 
967.25 1050.9499999999998 1088.25 1089.15 
1023.6 1071.4 1086.85 1086.85 
1053.4 1073.9 1085.75 1089.15 

524.2 1089.15 1089.15 1089.15 
1089.15 1089.15 1089.15 1089.15 
1083.35 1089.15 1089.15 1089.15 
1076.65 1089.15 1089.15 1089.15 
1063.35 1089.15 1089.15 1089.15 
996.15 1089.15 1089.15 1089.15 
1079.9499999999998 1089.15 1089.15 1089.15 
1073.45 1089.15 1089.15 1089.15 
1074.6 1089.15 1089.15 1089.15 
1003.35 1089.15 1089.15 1089.15 
973.25 1089.15 1089.15 1089.15 
1089.15 1089.15 1089.15 1089.15 
1085.85 1089.15 1089.15 1089.15 
1080.85 1089.15 1089.15 1089.15 
1064.6 1089.15 1089.15 1089.15 
1086.85 1089.15 1089.15 1089.15 
1081.25 1089.15 1089.15 1089.15 
1089.15 1089.15 1089.15 1089.15 
1074.15 1089.15 1089.15 1089.15 
1083.35 1089.15 1089.15 1089.15 
1085.75 1089.15 1089.15 1089.15 
999.15 1089.15 1089.15 1089.15 
1067.45 1089.15 1089.15 1089.15 
1083.9 1089.15 1089.15 1089.15 
1081.05 1089.15 1089.15 1089.15 
1002.4499999999999 1089.15 1089.15 1089.15 
1077.1 1089.15 1089.15 1089.15 
1079.15 1089.15 1089.15 1089.15
